Country,Year,Pop,Decade,GDP,Life_Expectancy,Region
Niger,1801,1244861,1800,446,30.8,Sub-Saharan Africa
Nigeria,1801,12100855,1800,853,30.4,Sub-Saharan Africa
Niue,1801,4538,1800,NA,NA,East Asia & Pacific
Norfolk Island,1801,NA,1800,NA,NA,East Asia & Pacific
Northern Cyprus,1801,NA,1800,NA,NA,Europe & Central Asia
Northern Mariana Islands,1801,3360,1800,NA,NA,East Asia & Pacific
Norway,1801,868570,1800,1280,35.8192129050991,Europe & Central Asia
Oman,1801,318000,1800,916,32.3,Middle East & North Africa
Pakistan,1801,13123633,1800,1021,25.8,South Asia
Palau,1801,3875,1800,839,NA,East Asia & Pacific
Panama,1801,78842,1800,847,32.9,America
Papua New Guinea,1801,754894,1800,546,31.5,East Asia & Pacific
Paraguay,1801,143000,1800,835,35.5,America
Peru,1801,1314151,1800,1204,35.7,America
Philippines,1801,1894389,1800,962,30.9,East Asia & Pacific
Pitcairn,1801,NA,1800,NA,NA,East Asia & Pacific
Poland,1801,9508747,1800,1217,35.9,Europe & Central Asia
Portugal,1801,3033454,1800,1685,35.6,Europe & Central Asia
Puerto Rico,1801,155000,1800,1375,30.43,America
Qatar,1801,14092,1800,1101,30.8,Middle East & North Africa
